type,start,end,_end,title,description,category,project,keyword
Biography,1908-00-00,1908-00-00,,Sergei Eisenstein and Maksim Štrauch become friends.,"Beginning of the friendship with Maksim Štrauch, with whom Sergei Eisenstein later works on many theater and film productions.",Biography and Personality;Cinema and Theatre,,Maksim Štrauch
Cinema,1908-00-00,1908-00-00,,Writes and directs his first play.,Sergei Eisenstein writes and directs his first play based on a Pamphlet brochure against drunkenness.,Cinema and Theatre,,
Biography,1908-00-00,1908-00-00,,Admitted to the Riga City Real-gymnasium,Sergei Eisenstein is admitted to the first class of Riga City Real-gymnasium in autumn.,Biography and Personality,Education,
Graphic,1908-00-00,1908-00-00,,Begins to draw.,"Inspired by an employee of his father, engineer Afrossimov, Sergei Eisenstein begins to draw ""very much and very badly"". With time, his interest concentrates on pure line drawing.",Graphic Art;Biography and Personality,,Afrossimov;Drawing
Biography,1910-00-00,1910-00-00,,First visit to a circus performance in St. Petersburg.,"Sergei Eisenstein for the first time visits a circus performance in St. Petersburg. He soon becomes a passionate follower of the circus. The principle of a program based on numbers determines the structure of his early theatrical productions, which break down each fragment of a play into artistic attractions and work with the eccentric elements of the circus and the Music Hall (clowns, tightrope walkers, acrobats). The structure of a circus performance is at the same time the starting point for the development of the idea of Montage.",Biography and Personality;Cinema and Theatre,,
Biography,1910-00-00,1910-00-00,,Intense interest for the French Revolution.,"Inspired by the reading of French revolutionary novels, Sergei Eisenstein asks for Histoire de la Revolution française by François Auguste Mignet for Christmas.",Biography and Personality,,Histoire de la Revolution française;François Auguste Mignet
Biography,1910-00-00,1912-00-00,1912-00-00,Watches his first color film.,"Sergei Eisenstein watches the first ""films in natural colors […].""",Biography and Personality;Cinema and Theatre,,
Biography,1910-00-00,1912-00-00,1912-00-00,Watching a cruel film scene becomes a traumatic experience.,"The cruelty of a film scene in which a blacksmith burns a convicts mark on the shoulder of a sergeant in revenge, together with the reading of the novels The Torture Garden (1899) by Octave Mirabeau and Venus in Furs (1870) by Leopold von Sacher-Masoch are a traumatic experience for Sergei Eisenstein, ""until the ocean of cruelties that my own films are filled with [...] flooded these early impressions of the disastrous film and the two books that undoubtedly influenced this ocean"".",Biography and Personality;Cinema and Theatre,,The Torture Garden;Octave Mirabeau;Venus in Furs;Leopold von Sacher-Masoch
Cinema,1910-00-00,1912-00-00,1912-00-00,Works at a performance of Die Nibelungen.,Sergei Eisenstein prepares the performance of two acts from Friedrich Hebbels tragedy Die Nibelungen (1862).,Cinema and Theatre,,Friedrich Hebbel;Die Nibelungen
Cinema,1912-00-00,1912-00-00,,Sergei Eisenstein and Maksim Štrauch organize circus performances.,"Sergei Eisenstein organizes circus performances with Maksim Štrauch, where all roles - including the animals - are performed by Štrauch and Eisenstein.",Cinema and Theatre,,Maksim Štrauch
Cinema,1912-00-00,1912-00-00,,Sergei Eisensteins enthusiasm for theatre begins.,Sergei Eisensteins enthusiasm for theatre begins when he attends the performance of Carlo Gozzis tragicomedy Turandot (1762) of the St. Petersburg theatre group K. N. Nezlobin in the production of Fëdor Fëdorovič Komissarževskij in Riga.,Cinema and Theatre,,Carlo Gozzi;Turandot;K.N. Nezlobin;Fëdor Fëdorovič Komissarževskij;Comedy
Biography,1912-05-08,,,Parents get divorce.,The marriage of Sergei Eisensteins parents is divorced for breach of fidelity by Julija Ivanova.,Biography and Personality,,Julija Ivanova;Michaïl Ossipovič Eisenstein;Parents
Graphic,1913-00-00,1913-00-00,,Processes politics and his school life in drawings.,"Sergei Eisenstein draws a lot. Over the years he begins to occupy himself with a series of satirical drawings in his sketch books - In the World of Animals - in which daily political events, personalities of Riga society and school events are processed.",Graphic Art,,Drawing
Biography,1914-07-00,1914-07-00,,Spends the summer with his mother in Staraja Russa.,"Sergei Eisenstein spends the summer with his mother in Staraja Russa. There he experiences a procession that later inspires him to the church procession in the film The General Line. During the stay he meets Anna Grigorjevna Dostoevskaja, the widow and executor of Fëdor Dostoevskijs estate.",Biography and Personality;Cinema and Theatre,General Line,Julija Ivanova;General Line;Religion;Anna Grigorjevna Dostoevskaja;Fëdor Dostoevskij
Biography,1915-05-02,,,"Graduation from high school, from which later he remembers his final religion exam especially.",Sergei Eisenstein graduates high school. He later describes his final religion exam as the origin of his later atheism.,Biography and Personality,,Exam;Religion;atheism
Biography,1915-05-30,,,The family is evacuated from Riga due to the war. Sergei Eisenstein travels to Petrograd to enter the Institute of Civil Engineering. ,Families of officials are evacuated from Riga in anticipation of German troops advancing on Lithuania and Kurland since April 1915. Sergei Eisenstein travels with his father to Petrograd for the entry exam to the Institute of Civil Engineering. During the trip he rebels against his authoritarian father for the first time.,Biography and Personality,,War;Institute of Civil Engineering
Biography,1915-05-30,1918-00-00,1918-00-00,Starts living in Petrograd.,From his entrance exam to the Institute of Civil Engineering on Sergei Eisenstein lives with his mother until 1918.,Biography and Personality,,Institute of Civil Engineering
Biography,1915-09-00,1915-09-00,,Begins his studies at the Institute of Civil Engineering.,Sergei Eisenstein starts his studies at the Institute of Civil Engineering in Petrograd. He is intensively engaged in analytic geometry.,Biography and Personality,,Institute of Civil Engineering
Cinema,1916-00-00,1916-00-00,,Occupation with the art of Italian Renaissance.,Sergei Eisenstein occupies himself with the art of Italian Renaissance. The theatrical means of the mask in the Commedia dellArte is decisive for the development of the Character Typage in Sergei Eisensteins films.,Cinema and Theatre,,Commedia dell'Arte;character typage
Cinema,1916-00-00,1916-00-00,,Visits the Vaudeville theaters in Petrograd.,Sergei Eisenstein visits the Vaudeville Theatres in Petrograd and meets the theater director Nikolaj Evreïnov.,Cinema and Theatre,,Vaudeville;Nikolaj Evreïnov
Biography,1917-02-00,1917-02-00,,Becomes a city militiaman.,"The Institute of Civil Engineering is converted into ""a centre for law and order and assigned to the Izmailov regiment"". Sergei Eisenstein becomes a city militiaman.",Biography and Personality,,February Revolution;Institute of Civil Engineering;militia
Biography,1917-02-00,1917-03-00,1917-03-00,Takes the exam in Higher Mathematics.,Sergei Eisenstein takes the exam in Higher Mathematics.,Biography and Personality,,Exam;higher mathematics
Biography,1917-02-00,1917-03-00,1917-03-00,Visits the repertoire productions of Meyerhold.,"Sergei Eisenstein visits the repertoire productions of Vsevolod Meyerhold at the Aleksandrinskij Theatre: Molière, Don Juan (on the program since November 9, 1910) and Calderón de la Barca, The Constant Prince (on the program since April 23, 1914). The traditional costume, mask and decoration designs from the year 1917 that are preserved in the Sergei Eisenstein Archive may, among other things, be directly related to these theatrical experiences.",Biography and Personality;Cinema and Theatre,,Vsevolod Meyerhold;Aleksandrinskij Theatre;Molière;Calderón de la Barca;Constant Prince
Biography,1917-03-08,,,Outbreak of the February Revolution in Petrograd.,"Outbreak of the February Revolution in Petrograd: Troops defect to the insurgents; a provisional executive committee of the Council of Workers and Soldiers Deputies is formed. Sergei Eisenstein observes the actions, but never participates actively.",Biography and Personality,,February Revolution;Military Involvement
Biography,1917-03-10,,,Seeing the Meyerhold production of Masquerade has lasting impact on Sergei Eisenstein.,Sergei Eisenstein sees the new Meyerhold production Masquerade (1835/36) by Mikhail J. Lermontov at the Aleksandrinskij Theatre. He is very impressed and later describes it as the final blow to dedicate his life to art.,Biography and Personality;Cinema and Theatre,,Vsevolod Meyerhold;Masquerade;Mihkail Lermontov;Aleksandrinskij Theatre
Graphic,1917-03-00,1917-03-00,,First caricatures get published in newspapers. ,"Sergei Eisenstein starts professionally drawing caricatures, which are initially rejected by the magazine Satirikon. The editor of the Petrograd Gazette accepts a drawing showing ""the police, restoring order"" for publication; Sergei Eisenstein receives a fee of 10 rubles. Other caricatures appear with the signature ""Sir Gay"" (= Sergei).",Graphic Art,,Drawing;Caricature;Satirikon;Gazette;Sir Gay
Biography,1917-04-00,1917-07-00,1917-07-00,Begins studying at the School of Warrant Officers of the Corps of Engineers,Sergei Eisensteins application for admission to the School of Warrant Officers of the Corps of Engineers in Petrograd is accepted. He takes his first courses at the school not after July.,Biography and Personality,,Fähnrichschule;Army technician;Military Involvement
Biography,1917-07-16,1917-07-17,1917-07-17,Is caught up in Bolshevik demonstrations at Nevskij Prospect.,"Sergei Eisenstein is caught up in Bolshevik demonstrations at Nevskij Prospect, which are dispersed by military intervention. Ten years later, after personal memories and historical film and photo documents, he shoots the film October there.",Biography and Personality;Cinema and Theatre,October,Demonstration;Nevskij Prospect;October;Military Involvement
Biography,1917-08-00,1917-08-00,,Is sent to the front with the School of Warrant Officers of the Corps of Engineers.,"Sergei Eisenstein is sent to the front. The School of Warrant Officers of the Corps of Engineers is used for defense ""in the forecourt of Petrograd in front of the ""anrückenden Haufen Kornilovs und der wilden Division«.",Biography and Personality,,front;Fähnrichschule
Cinema,1917-09-29,,,Scene sketches for Carlo Goldoni The Honorable Maid.,Sergei Eisenstein drafts two scene sketches for Carlo Goldoni The Honorable Maid.,Cinema and Theatre;Graphic Art,The Respectful Prostitute,Carlo Goldoni;The respectful Prostitute;Drawing;Sketch
Biography,1917-00-00,1917-00-00,,First thoughts on the principle of counterpoint.,"In autumn while practicing building pontoon bridges, Sergei Eisenstein has his first insights concerning the principle of counterpoint ""as a strictly limited combination of countless independent individual actions"".",Biography and Personality;Cinema and Theatre,Audiovisual Counterpoint,counterpoint;building platoon
Biography,1917-00-00,1917-00-00,,Reads Albrecht Dürers Diary of his journey to the Netherlands.,In autumn Sergei Eisenstein reads Albrecht Dürers Diary of his journey to the Netherlands.,Biography and Personality,,Studying;Albrecht Dürer;Diary of his journey to the Netherlands
Cinema,1917-11-00,1917-11-00,,"Works on an own pantomime, Les Millions de Pierrot.","Sergei Eisenstein designs a libretto and figurines for a pantomime, presumably written by himself, under the title Les Millions de Pierrot.",Cinema and Theatre,,Pierrot's Million;Studying;Pantomime
Graphic,1917-11-06,1917-11-07,1917-11-07,"Creates caricatures on the October Revolution, that are rejected.","October Revolution in Petrograd. Sergei Eisenstein offers caricatures about the Prime Minister, Aleksandr Fëdorovič Kerenskij, to Stanislav Propper, the editor of the weekly magazine Ogonëk. Propper does not accept the work, but promises him commissions. Sergei Eisenstein receives an advance of 25 rubles.",Graphic Art;Biography and Personality,,October Revolution;Caricature;Stanislav Propper;Aleksandr Fëdorovič Kerenskij;Ogonëk;Drawing
Cinema,1917-00-00,1917-00-00,,"Sergei Eisenstein creates several designs for costumes, masks and decorations.","1917 Sergei Eisenstein creates designs for costumes, masks and decorations for Shakespeares Hamlet (1600), decoration designs for Gerhart Hauptmann, The Weavers (1892) and the comedy Schluck und Jau (1900), costume designs for the prose comedy of Molière, Scapin the Schemer, decoration and Costume designs for a vaudeville (author not identified) First Die and Then You Can Be Honored as well as for Queen of Spades after Aleskandr Puškin or Pëtr Čajkovskij.",Cinema and Theatre;Graphic Art,,Shakespeare;Hamlet;Gerhart Hauptmann;The Weavers;Schluck und Jau;Molière;Scapin the Schemer;End well all is well;Queen of spades;Aleskandr Puškin;Pëtr Čajkovskij;Comedy
Cinema,1917-00-00,1917-00-00,,Sergei Eisenstein writes several plays and stage drafts.,"Sergei Eisenstein writes the farce in one act Spießbürger, the drama Dawn of the Red Alarm, the ""Mystery Play in six pictures with prologue"" Evolution of a Witch and presumably the pantomime Four Harlekins, which was preserved in the archive. Drafts for the production of all pieces are created.",Cinema and Theatre;Writing and Teaching,,Spießbürger;The fire of the red storm;The Evolution of the Witch;Pantomime;The Four Harlequins
Cinema,1917-00-00,1918-00-00,1918-00-00,Sergei Eisenstein works further on dramatizations and theatre designs.,"In 1917 or 1918, Sergei Eisenstein works on decoration, costumes and and mask designs for fairy tale plays by Carlo Gozzi, The Love of the Three Oranges, The Serpent Woman and The Green Bird. He writes ""dramatic scenes after the Memoirs of Achilleus"", Achilliada, and dramatizes Persian fairy tales.",Cinema and Theatre;Writing and Teaching;Graphic Art,,Costume Design;The love of the three oranges;The serpent woman;The Green Bird;Achilliada;Fairy Tales
Biography,1918-01-00,1918-01-00,,Returns to Institute of Civil Engineering.,The School of Warrant Officers of the Corps of Engineers is closed. Sergei Eisenstein returns to his studies of Civil Engineering.,Biography and Personality,,Education
Biography,1918-03-18,,,Joins the Red Army.,"Voluntary entry into the Red Army as an engineer for military structures in the 2nd Sappers of the Petrograd rayon, the later 18th Sappers in the 15th Armed Forces Staff. Sergei Eisensteins father decides to join the White Army at the same time.",Biography and Personality,,Military Involvement
Biography,1918-00-00,1918-00-00,,Begins reading Freud.,Sergei Eisenstein reads Sigmund Freuds Leonardo da Vinci and A Memory of His Childhood; this marks the beginning of his longstanding engagement with Freud.,Biography and Personality,,Sigmund Freud;Leonardo da Vinci;A Memory of His Childhood;Studying
Graphic,1918-07-02,,,Drawing character and decoration designs.,"Sergei Eisenstein sketches character and decoration designs for a ""Farce from the times of Catherine II. in three acts with prologue"" under the title The Slipper, or The Career of Prince Donkeysky.",Graphic Art,,Farce of the time of Catherine II;Slippers;The Career of Prince Osel'skij;Drawing;Sketch
Biography,1918-09-20,,,Meets Maria Puškina when transferred to the northeastern front.,"The 18th Sappers are transferred to the northeastern front. There Sergei Eisenstein makes the acquaintance of Maria Puškina. ""In Eisensteins diaries one constantly encounters the initials M. P.""",Biography and Personality,,M.P.;Maria Puškina;Journal Entry
Biography,1918-11-17,1918-11-18,1918-11-18,Visits the Prilutsky Monastery at Vologda.,Sergei Eisenstein visits the Prilutsky Monastery at Vologda. He later uses the impressions taken in there in the design of Ivan the Terrible.,Biography and Personality;Cinema and Theatre,Ivan Groznyj,Ivan Groznyj;Set Design
Cinema,1918-00-00,1920-00-00,1920-00-00,"Set, costume and mask designs for Aristophanes comedies.","Sergei Eisenstein works on set, costume and mask designs for the comedies of Aristophanes The Birds, The Clouds and Lysistrata.",Cinema and Theatre;Graphic Art,,Set Design;Costume Design;The Birds;The Clouds and Lysistrata'
Cinema,1919-01-00,1919-02-00,1919-02-00,"First experiences as director, stage designer and actor.","Sergei Eisensteins first practical attempts as a director, stage designer and actor in the communist club of Vožega.",Cinema and Theatre,,Set Design;Costume Design
Biography,1919-03-06,,,Experiences a former battlefield when transferred to Dvinsk.,Sergei Eisensteins unit is moved to Dvinsk. He takes part in the blasting of German fortifications on a former battlefield littered with skeletons. Later he uses this image in the prologue of Aleksandr Nevskij.,Biography and Personality;Cinema and Theatre,Aleksandr Nevskij,Military Involvement;Aleksandr Nevskij
Cinema,1919-06-02,1919-06-14,1919-06-14,Works on designs for Queen Theodora.,"Sergei Eisenstein works on set, masks and costume designs for Queen Theodora; it is either a vaudeville of Victorien Sardou or a dramatization of his own.",Cinema and Theatre;Graphic Art,Queen Theodora,Set Design;Costume Design;Queen Theodora
Cinema,1919-06-11,,,Studies the staging principles of medieval mystery plays.,Sergei Eisenstein tells his mother that he is working on the staging principles of medieval mystery plays.,Cinema and Theatre,,Set Design;Studying
Cinema,1919-00-00,1919-00-00,,Envisions images later used in The Old and the New/ The General Line.,"One summer day after an ""unusually luxuriant meal"", Sergei Eisenstein falls into a visionary half-sleep; the visions are ""a good five years later [...] in my head not yet blurred [...] the kulak’s ear and the crease in his neck, as big as the whole movie screen, the nose of the other one the size of a house, a huge hand, sleepily helpless over a jug of kvass, a grasshopper the size of a mower - such images were incessantly interwoven with the sarabande of landscapes and rural customs in the film The Old and the New."" (Stationen, p. 107f.)",Cinema and Theatre,General Line,The Old and the New;Dreams
Cinema,1919-06-00,1920-01-00,1920-01-00,Drafts libretto and designs for Les douze heures de Colombine.,"Sergei Eisenstein drafts a libretto for a pantomime ""grand Colombino-Arlequinade"" Les douze heures de Colombine; designs for set and figurines are created.",Cinema and Theatre;Graphic Art,,Set Design;Pantomime;Grand Colombino-Arlequinade;The twelve hours of Columbina
Biography,1919-07-01,,,"Studies Maeterlinck, Schopenhauer and especially Kleists work on movement.","Sergei Eisenstein is sent to Cholm to build defences. He reads works by Maurice Maeterlinck, Arthur Schopenhauer and the theatre-theoretical writings of Heinrich von Kleist; Kleists On the Marionette Theatre gives Sergei Eisenstein an initial impetus for later studies of expressive movement, and ""the first two or three guiding principles on biomechanics will continue to follow the path taken by Kleist"".",Biography and Personality;Cinema and Theatre,,Studying;Maurice Maeterlinck;Arthur Schopenhauer;Heinrich von Kleist;On the Marionette Theatre
Cinema,1919-07-00,1919-08-00,1919-08-00,Set designs for Princess Maleine.,Sergei Eisenstein works on set designs for Maurice Maeterlincks Princess Maleine (1899).,Cinema and Theatre;Graphic Art,,Set Design;Costume Design;Princess Maleine;Maurice Maeterlinck
Cinema,1919-10-04,1919-10-05,1919-10-05,Set designs for own intermezzo.,"For an intermezzo, probably written by Sergei Eisenstein himself Ein in eine Puppe Verliebter oder Der französische Kavalier, he creates designs for set and figurines.",Cinema and Theatre;Graphic Art,,Set Design;Ein in eine Puppe Verliebter oder Der französische Kavalier
Cinema,1919-10-00,1919-10-00,,Set designs for Brand.,"Set designs for Henrik Ibsens Brand (1866), a dramatic poem in five acts.",Cinema and Theatre;Graphic Art,,Set Design;Brand;Henrik Ibsen
Biography,1919-11-00,1919-11-00,,Relocation to Velikie Luki.,In the first half of November Sergei Eisensteins army department is relocated to Velikie Luki.,Biography and Personality,,Military Involvement
Cinema,1919-11-00,1919-11-00,,Designs for a comedy by Miguel de Cervantes.,Set and costume designs for the comedy The Two Gossips (1614) by Miguel de Cervantes.,Cinema and Theatre;Graphic Art,,Set Design;Costume Design;The Birds;The Clouds and Lysistrata'
Biography,1919-11-00,1919-12-00,1919-12-00,Founds an amateur drama group in Velikie Luki.,"Sergei Eisenstein and some soldiers found an amateur drama group and he makes the acquaintance of the painter Konstantin Stepanovič Eliseev, in whose house the local cultural club is located; there theatre performances take place regularly.",Biography and Personality;Cinema and Theatre,,Konstantin Stepanovič Eliseev;Drama group
Cinema,1919-11-30,,,Designs for a stage play.,Costume and mask designs for an unidentified stage play Woman for Sale.,Cinema and Theatre;Graphic Art,A Woman for Sale,Set Design;Costume Design;A Woman for Sale
Cinema,1919-12-27,,,Designs for a stage play.,Set and figurine designs for Miracle of St. Nicholas. The author has not been identified.,Cinema and Theatre;Graphic Art,Miracles of St. Nicholas;A Jew and three robbers,Set Design;Costume Design;Miracles of St. Nicholas;A Jew and three robbers
Cinema,1919-00-00,1921-00-00,1921-00-00,From the time between 1919 and 1921 several more plays and designs by Sergei Eisenstein are preserved. ,"In 1919, he creates costume and set designs for a Mystery Play by an unidentified author: Notre-Dame; Set designs for Bartholomew Fair (1613) and Volpone (1605) by Ben Jonson, for Peer Gynt (1867) by Henrik Ibsen; figure designs for Eric XIV (1899) by August Strindberg; set, costume and mask designs for the presumably Old French ""morality of the two Lazarus"". The dating is uncertain for the sets and costume designs for Gerhart Hauptmanns Elga (1905) and for the comedy Nymphs of the Ancient Gardens , for which costume designs and a cast list has been handed down. The author has not been identified. In 1919 or 1920 Sergei Eisenstein works on drafts for the opera Dubrovskij from Eduard Napravnik after a story by Aleksandr Puškin, on A Play about George the Brave by Vasilij Rozanov and the drama The King’s Barber by Anatolij V. Lunačarskij; for the drama Savva (1907) by Leonid N. Andreev sketches are created. Between 1919 and 1921, Sergei Eisenstein writes Comedy of Power-Queen Isabella, for which, in addition to designs for equipment, stage directions have been handed down. In 1919 or 1921, Sergei Eisenstein works on sets for Vladimir V. Majakovskijs Mystery-Bouffe (1918).",Cinema and Theatre;Graphic Art,Dubrovskij,Set Design;Costume Design;Notre Dame;The Bartholomew Market;Volpone;Ben Jonson;Peer Gynt;Eric XIV;August Strindberg;Gerhart Hauptmann;Elga;The Nymphs of the Old Park;Dubrovskij;The play of the brave Georg;Rozanov;The Royal Barber;Anatolij V. Lunačarskij;Savva;Leonid N. Andreev;The Comedy of Power or Queen Isabella;Vladimir V. Mayakovskij;Mysterium buffo
Cinema,1920-01-07,,,Preparations to stage The Double with the amateur drama group.,Sergei Eisenstein begins preparing the staging of the comedy The Double by Arkadij T. Averčenko with the amateur drama group of the 18th Sappers.,Cinema and Theatre,,The Double by Arkadij;Arkadij T. Averčenko;Drama group;Comedy
Cinema,1920-01-08,,,Preparations to stage The Mirror.,Preparations for the production of the drama The Mirror by F. M. Slučanjnyj are started.,Cinema and Theatre,,The Mirror;F. M. Slučanjnyj
Cinema,1920-01-21,,,Designs for Donna Manuela.,"Sergei Eisenstein works on costume and mask designs for a stage play Donna Manuela, whose author could not be determined.",Cinema and Theatre;Graphic Art,,Donna Manuela;Set Design;Costume Design
Cinema,1920-02-04,1920-03-19,1920-03-19,Preparations to stage Marat.,Sergei Eisenstein works on the production of the drama Marat by A. Emnuelle (pseudonym of N. Nikolaev).,Cinema and Theatre,,Marat;A. Emnuelle
Cinema,1920-02-09,,,"Performance of The Double, The Mirror and The Lawsuit  at the Cultural Club in Velikie Luki.","The Double, The Mirror and the comedy The Lawsuit by Nikolaj V. Gogol are performed at the Cultural Club in Velikie Luki. In The Double, Sergei Eisenstein plays the (secondary) role of the bespectacled man. In one criticism it says, ""that all the performers (including myself) overacted excessively [...] that they all [...] turned themselves into circus eccentrics!""",Cinema and Theatre,,The Double;The Mirror';The Trial;Nikolaj V. Gogol;Critique;Comedy
Cinema,1920-02-12,,,Preparations to stage The Gamblers.,Work on the staging of the comedy The Gamblers by Nikolaj Gogol begins.,Cinema and Theatre,,
Cinema,1920-02-12,,,Becomes director of the drama group at the Cultural Club.,Sergei Eisenstein organizes a dramaturgical studio in the Cultural Club and becomes the permanent director of the amateur drama group.,Cinema and Theatre,,
Cinema,1920-03-10,1920-09-23,1920-09-23,Drafts for The Tales of Hoffmann.,Drafts for The Tales of Hoffmann Operetta by Jacques Offenbach.,Cinema and Theatre;Graphic Art,,The Tales of Hoffmann Operetta;Jacques Offenbach
Cinema,1920-03-11,1920-06-16,1920-06-16,Creates a play and sets under the pseudonym Peregrinus Tiss.,"Sergei Eisenstein writes the libretto for a Authentic Comedy about the Lustful Witch Tortellini, the Black Goat, the Just Judge, etc. under the pseudonym Peregrinus Tiss. Set designs, costumes and masks are created.",Cinema and Theatre;Graphic Art,,Pseudonym;Peregrinus Tiss;Set Design;Costume Design
Cinema,1920-03-19,,,Marat and The Gamblers are performed in the cultural club of Velikie Luki.,Marat and The Gamblers are performed in the Cultural Club of Velikie Luki.,Cinema and Theatre,,Marat;The Gamblers
Cinema,1920-04-04,1920-04-20,1920-04-20,Discusses George Dandin with students of the Central Theatre Studio.,With students of the Central Theatre Studio - possibly in Velikie Luki - Sergei Eisenstein discusses the staging of the prose comedy by Molière Georges Dandin (1668).,Cinema and Theatre;Writing and Teaching,,Molière;George Dandin;Comedy
Cinema,1920-04-19,1920-04-22,1920-04-22,Studies The Storming of the Bastille after Le quatorze juillet.,Sergei Eisenstein studies the Storming of the Bastille after Le quatorze juillet (1902) by Romain Rolland.,Cinema and Theatre,,Studying;The Storming of the Bastille;Le quatorze juillet;Romain Rolland
Cinema,1920-05-12,1920-06-12,1920-06-12,Designs for more plays.,"Sergei Eisenstein is working on a Comedy Without a Title (Cornelia), which is designed by himself and is working on set designs for Wedding of the Banker Campozzi (author not identified).",Cinema and Theatre;Graphic Art,Cornelia,Cornelia;Set Design;Costume Design;The Marquise Kampozzi's Wedding
Cinema,1920-05-17,,,Drafts for the production of a Heijermans work.,Drafts for a production of The Good Hope: a drama of the sea in four acts (1901) by Herman Heijermans.,Cinema and Theatre;Graphic Art,,Seestück;Hoffnung;Herman Heijermans
Biography,1920-05-25,,,Travels to Polotsk.,Trip to Polotsk. Sergei Eisenstein reads Mémoires sur le siècle de Louis XIV et sa Régence (1829f.) by Henri de Saint-Simon; renewed meeting with Konstantin Eliseev.,Biography and Personality,,Travels;Mémoires sur le siècle de Louis XIV et sa Régence;Konstantin Eliseev;Saint-Simon
Cinema,1920-06-21,,,Studies roman comedies.,Sergei Eisenstein occupies himself with the comedies Mostellaria by Titus Maccius Plautus and The Eunuch by Publius Terentius Afer.,Cinema and Theatre,,Mostellaria;Titus Maccius Plautus;The Eunuch;Publius Terentius Afer
Cinema,1920-06-27,,,Sergei Eisenstein joins the Theatre Section of the Political Department of the Western Front in Polotsk.,Sergei Eisenstein joins the Theatre Section of the Political Administration of the Western Front in Polotsk.,Cinema and Theatre,,Political Department of the Western Front
Cinema,1920-07-01,,,Tries to organize a front theatre.,Trip to Mogilëv: There Sergei Eisenstein makes an attempt to organize a front theatre.,Cinema and Theatre,,Travels
