type,start,_end,end,title,description,category,project,keyword,people,places,works,artistic,additional,display temporal,source,displayTemporal,reference,image,VRobject,Event_ID
Biography,1908-00-00,1908-00-00,,Sergei Eisenstein and Maksim Shtraukh become friends.,"Beginning of the friendship with Maksim Shtraukh, with whom Sergei Eisenstein later works on many theatre and film productions.",Biography and Personality;Cinema and Theatre,,Maksim Shtraukh,Maksim Shtraukh,Russian Empire;Latvia;Riga,,,,1908,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 16,1908,,,,friendship_Strauch
Cinema,1908-00-00,1908-00-00,,Writes and directs his first play.,Sergei Eisenstein writes and directs his first play based on a Pamphlet brochure against drunkenness.,Cinema and Theatre,,,,Russian Empire;Latvia;Riga,,,Director;Script,1908,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 16,1908,,,,script_directing_first_play
Biography,1908-00-00,1908-00-00,,Admitted to the Riga City Real-gymnasium,Sergei Eisenstein is admitted to the first class of Riga City Real-gymnasium in autumn.,Biography and Personality,Education,,,Russian Empire;Latvia;Riga,,,Real-gymnasium,1908,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 16,1908,,,,realgymnasium
Graphic,1908-00-00,1908-00-00,,Begins to draw.,"Inspired by an employee of his father, engineer Afrossimov, Sergei Eisenstein begins to draw ""very much and very badly"". With time, his interest concentrates on pure line drawing.",Graphic Art;Biography and Personality,,Afrossimov;Drawing,Afrossimov,,,Drawing;Line Drawing,,1908,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 16,1908,,,,drawing_beginning
Biography,1910-00-00,1910-00-00,,First visit to a circus performance in St. Petersburg.,"Sergei Eisenstein for the first time visits a circus performance in St. Petersburg. He soon becomes a passionate follower of the circus. The principle of a program based on numbers determines the structure of his early theatrical productions, which break down each fragment of a play into artistic attractions and work with the eccentric elements of the circus and the Music Hall (clowns, tightrope walkers, acrobats). The structure of a circus performance is at the same time the starting point for the development of the idea of Montage.",Biography and Personality;Cinema and Theatre,,,,Russian Empire;Russia;St. Petersburg,,Circus;Attractions;Number Program;Montage,,Not before 1910,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 16,Not before 1910,,,,circus_first_visit
Biography,1910-00-00,1910-00-00,,Intense interest for the French Revolution.,"Inspired by the reading of French revolutionary novels, Sergei Eisenstein asks for 'Histoire de la Revolution française' by François Auguste Mignet for Christmas.",Biography and Personality,,Histoire de la Revolution française;François Auguste Mignet,François Auguste Mignet,Russian Empire;Latvia;Riga,,,French Revolution,1910,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 17,1910,,,,reading_french_revolution
Biography,1910-00-00,1912-00-00,1912-00-00,Watches his first colour film.,"Sergei Eisenstein watches the first ""films in natural colours […].""",Biography and Personality;Cinema and Theatre,,,,Russian Empire;Latvia;Riga,,,Film Colour,Between 1910 and 1912,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 17,Between 1910 and 1912,,,,colorfilm_first_visit
Biography,1910-00-00,1912-00-00,1912-00-00,Watching a cruel film scene becomes a traumatic experience.,"The cruelty of a film scene in which a blacksmith burns a convict's mark on the shoulder of a sergeant in revenge, together with the reading of the novels 'The Torture Garden' (1899) by Octave Mirabeau and 'Venus in Furs' (1870) by Leopold von Sacher-Masoch are a traumatic experience for Sergei Eisenstein, ""until the ocean of cruelties that my own films are filled with [...] flooded these early impressions of the disastrous film and the two books that undoubtedly influenced this ocean"".",Biography and Personality;Cinema and Theatre,,The Torture Garden;Octave Mirabeau;Venus in Furs;Leopold von Sacher-Masoch,Octave Mirbeau;Leopold von Sacher-Masoch,Russian Empire;Latvia;Riga,,,,Between 1910 and 1912,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 17 f.,Between 1910 and 1912,,,,traumatic_experience
Cinema,1910-00-00,1912-00-00,1912-00-00,Works at a performance of 'Die Nibelungen'.,Sergei Eisenstein prepares the performance of two acts from Friedrich Hebbel's tragedy 'Die Nibelungen' (1862).,Cinema and Theatre,,Friedrich Hebbel;Die Nibelungen,Friedrich Hebbel,Russian Empire;Latvia;Riga,,,Director,Between 1910 and 1912,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 18,Between 1910 and 1912,,,,directing_Nibelungen
Cinema,1912-00-00,1912-00-00,,Sergei Eisenstein and Maksim Shtraukh organize circus performances.,"Sergei Eisenstein organizes circus performances with Maksim Shtraukh, where all roles - including the animals - are performed by Shtraukh and Eisenstein.",Cinema and Theatre,,Maksim Shtraukh,Maksim Shtraukh,Russian Empire;Latvia;Riga,,Circus,Director;Acting,1912,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 18,1912,,,,circus_performances_Strauch
Cinema,1912-00-00,1912-00-00,,Sergei Eisenstein's enthusiasm for theatre begins.,Sergei Eisenstein's enthusiasm for theatre begins when he attends the performance of Carlo Gozzi's tragicomedy 'Turandot' (1762) of the St. Petersburg theatre group K. N. Nezlobin in the production of Fedor Komissarzhevski in Riga.,Cinema and Theatre,,Carlo Gozzi;Turandot;K.N. Nezlobin;Fedor Komissarzhevski;Comedy,Carlo Gozzi;Fedor Komissarzhevski,Russian Empire;Russia;St. Petersburg,,,K. N. Nezlobin,1912,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 18,1912,,,,theatre_enthusiasm_begins
Biography,1912-05-08,,,Parents get divorce.,The marriage of Sergei Eisenstein's parents is divorced for breach of fidelity by Iulia Konetskaia.,Biography and Personality,,Iulia Konetskaia;Mikhail Eisenstein;Parents,Iulia Konetskaia;Mikhail Eisenstein,,,,,,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 18,,,,,parental_divorce
Graphic,1913-00-00,1913-00-00,,Processes politics and his school life in drawings.,"Sergei Eisenstein draws a lot. Over the years he begins to occupy himself with a series of satirical drawings in his sketch books - 'In the World of Animals' - in which daily political events, personalities of Riga society and school events are processed.",Graphic Art,,Drawing,,Russian Empire;Latvia;Riga,In the World of Animals,Satire,,1913,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 18,1913,"reproduction in ""In the Master's House""",,,drawing_satirical
Biography,1914-07-00,1914-07-00,,Spends the summer with his mother in Staraja Russa.,"Sergei Eisenstein spends the summer with his mother in Staraja Russa. There he experiences a procession that later inspires him to the church procession in the film 'The General Line'. During the stay he meets Anna Dostoevskaia, the widow and executor of Fedor Dostoevski's estate.",Biography and Personality;Cinema and Theatre,General Line,Iulia Konetskaia;General Line;Religion;Anna Dostoevskaia;Fedor Dostoevski,Iulia Konetskaia;Anna Dostoevskaia;Fedor Dostoevski,Russian Empire;Russia;Staraja Russa,The General Line,,,July 1914,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 19,July 1914,,,,staraja_russa
Biography,1915-05-02,,,"Graduation from high school, from which later he remembers his final religion exam especially.",Sergei Eisenstein graduates high school. He later describes his final religion exam as the origin of his later atheism.,Biography and Personality,,Exam;Religion;atheism,,Russian Empire;Latvia;Riga,,,Real-gymnasium,,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 19,,,,,graduation
Biography,1915-05-30,,,The family is evacuated from Riga due to the war. Sergei Eisenstein travels to Petrograd to enter the Institute of Civil Engineering. ,Families of officials are evacuated from Riga in anticipation of German troops advancing on Lithuania and Kurland since April 1915. Sergei Eisenstein travels with his father to Petrograd for the entry exam to the Institute of Civil Engineering. During the trip he rebels against his authoritarian father for the first time.,Biography and Personality,,War;Institute of Civil Engineering,Mikhail Eisenstein,Russian Empire;Latvia;Russia;Riga;St. Petersburg,,,Institute of Civil Engineering;First World War,,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 19,,,,,travel_riga_petrograd
Biography,1915-05-30,1918-00-00,1918-00-00,Starts living in Petrograd.,From his entrance exam to the Institute of Civil Engineering on Sergei Eisenstein lives with his mother until 1918.,Biography and Personality,,Institute of Civil Engineering,Iulia Konetskaia,Russian Empire;Russia;St. Petersburg,,,Institute of Civil Engineering,30 May 1915 to 1918,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 19,30 May 1915 to 1918,,,,move_petrograd
Biography,1915-09-00,1915-09-00,,Begins his studies at the Institute of Civil Engineering.,Sergei Eisenstein starts his studies at the Institute of Civil Engineering in Petrograd. He is intensively engaged in analytic geometry.,Biography and Personality,,Institute of Civil Engineering,,Russian Empire;Russia;St. Petersburg,,Mathematics,Institute of Civil Engineering,September 1915,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 19,September 1915,,,,education_civil_engineering
Cinema,1916-00-00,1916-00-00,,Occupation with the art of Italian Renaissance.,Sergei Eisenstein occupies himself with the art of Italian Renaissance. The theatrical means of the mask in the Commedia dell'Arte is decisive for the development of the Character Typage in Sergei Eisenstein's films.,Cinema and Theatre,,Commedia dell'Arte;character typage,,,,Commedia dell'Arte;Character Typage,,1916,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 20,1916,,,,studying_italian_renaissance
Cinema,1916-00-00,1916-00-00,,Visits the Vaudeville Theatres in Petrograd.,Sergei Eisenstein visits the Vaudeville Theatres in Petrograd and meets the theatre director Nikolai Evreinov.,Cinema and Theatre,,Vaudeville;Nikolai Evreinov,Nikolai Evreinov,Russian Empire;Russia;St. Petersburg,,,,1916,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 20,1916,,,,visits_vaudeville
Biography,1917-02-00,1917-02-00,,Becomes a city militiaman.,"The Institute of Civil Engineering is converted into ""a centre for law and order and assigned to the Izmailov regiment"". Sergei Eisenstein becomes a city militiaman.",Biography and Personality,,February Revolution;Institute of Civil Engineering;militia,,,,,,Beginning of February 1917,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 20,Beginning of February 1917,,,,joins_militia
Biography,1917-02-00,1917-03-00,1917-03-00,Takes the exam in Higher Mathematics.,Sergei Eisenstein takes the exam in Higher Mathematics.,Biography and Personality,,Exam;higher mathematics,,Russian Empire;Russia;St. Petersburg,,Mathematics,,Between February and March 1917,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 20,Between February and March 1917,,,,exam_higher_mathematics
Biography,1917-02-00,1917-03-00,1917-03-00,Visits the repertoire productions of Meyerhold.,"Sergei Eisenstein visits the repertoire productions of Vsevolod Meyerhold at the Aleksandrinski Theatre: Molière, 'Don Juan' (on the program since November 9, 1910) and Calderón de la Barca, 'The Constant Prince' (on the program since April 23, 1914). The traditional costume, mask and decoration designs from the year 1917 that are preserved in the Sergei Eisenstein Archive may, among other things, be directly related to these theatrical experiences.",Biography and Personality;Cinema and Theatre,,Vsevolod Meyerhold;Aleksandrinski Theatre;Molière;Calderón de la Barca;Constant Prince,Vsevolod Meyerhold;Molière;Calderón de la Barca,Aleksandrinski Theatre;Russian Empire;Russia;St. Petersburg,,,Costume Design;Set Design;Mask Design,Between February and March 1917,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 20,Between February and March 1917,,,,meyerhold_performances
Biography,1917-03-08,,,Outbreak of the February Revolution in Petrograd.,"Outbreak of the February Revolution in Petrograd: Troops defect to the insurgents; a provisional executive committee of the Council of Workers' and Soldiers' Deputies is formed. Sergei Eisenstein observes the actions, but never participates actively.",Biography and Personality,,February Revolution;Military Involvement,,Russian Empire;Russia;St. Petersburg,,,February Revolution,,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 20,,,,,february_revolution
Biography,1917-03-10,,,Seeing the Meyerhold production of 'Masquerade' has lasting impact on Sergei Eisenstein.,Sergei Eisenstein sees the new Meyerhold production 'Masquerade' (1835/36) by Mikhail J. Lermontov at the Aleksandrinski Theatre. He is very impressed and later describes it as the final blow to dedicate his life to art.,Biography and Personality;Cinema and Theatre,,Vsevolod Meyerhold;Masquerade;Mihkail Lermontov;Aleksandrinski Theatre,Vsevolod Meyerhold;Mikhail Lermontov,Aleksandrinski Theatre;Russian Empire;Russia;St. Petersburg,,,,,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 20,,,,,meyerhold_masquerade
Graphic,1917-03-00,1917-03-00,,First caricatures get published in newspapers. ,"Sergei Eisenstein starts professionally drawing caricatures, which are initially rejected by the magazine Satirikon. The editor of the Petrograd Gazette accepts a drawing showing ""the police, restoring order"" for publication; Sergei Eisenstein receives a fee of 10 rubles. Other caricatures appear with the signature ""Sir Gay"" (= Sergei).",Graphic Art,,Drawing;Caricature;Satirikon;Gazette;Sir Gay,,Russian Empire;Russia;St. Petersburg,,Caricature,Satirikon;Petrograd Gazette;February Revolution,Not later than March 1917,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 21,Not later than March 1917,,,,publication_caricatures
Biography,1917-04-00,1917-07-00,1917-07-00,Begins studying at the School of Warrant Officers of the Corps of Engineers,Sergei Eisenstein's application for admission to the School of Warrant Officers of the Corps of Engineers in Petrograd is accepted. He takes his first courses at the school not later than July.,Biography and Personality,,Fähnrichschule;Army technician;Military Involvement,,Russian Empire;Russia;St. Petersburg;School of Warrant Officers of the Corps of Engineers,,,School of Warrant Officers of the Corps of Engineers,Between April and July 1917,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 21,Between April and July 1917,,,,education_fähnrichschule
Biography,1917-07-16,1917-07-17,1917-07-17,Is caught up in Bolshevik demonstrations at Nevski Prospect.,"Sergei Eisenstein is caught up in Bolshevik demonstrations at Nevski Prospect, which are dispersed by military intervention. Ten years later, after personal memories and historical film and photo documents, he shoots the film 'October' there.",Biography and Personality;Cinema and Theatre,October,Demonstration;Nevski Prospect;October;Military Involvement,,Russian Empire;Russia;St. Petersburg;Nevski Prospect,Can You Hear Me٫ Moscow?;October: Ten Days That Shook the World,,,,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 21,,,,,demonstration_Nevski_Prospect
Biography,1917-08-00,1917-08-00,,Is sent to the front with the School of Warrant Officers of the Corps of Engineers.,"Sergei Eisenstein is sent to the front. The School of Warrant Officers of the Corps of Engineers is used for defense ""in the forecourt of Petrograd in front of the ""anrückenden Haufen Kornilovs und der 'wilden Division'«.",Biography and Personality,,front;Fähnrichschule,,Russian Empire;Russia,,,School of Warrant Officers of the Corps of Engineers;First World War;February Revolution,July 1917,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 21,July 1917,,,,war_front
Cinema,1917-09-29,,,Scene sketches for Carlo Goldoni 'The Honorable Maid'.,Sergei Eisenstein drafts two scene sketches for Carlo Goldoni 'The Honorable Maid'.,Cinema and Theatre;Graphic Art,The Respectful Prostitute,Carlo Goldoni;The respectful Prostitute;Drawing;Sketch,Carlo Goldoni,Russian Empire;Russia,The Honorable Maid,,Scene Sketch,,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 21,,,,,drawing_theatre_goldoni
Biography,1917-00-00,1917-00-00,,First thoughts on the principle of counterpoint.,"In autumn while practicing building pontoon bridges, Sergei Eisenstein has his first insights concerning the principle of counterpoint ""as a strictly limited combination of countless independent individual actions"".",Biography and Personality;Cinema and Theatre,Audiovisual Counterpoint,counterpoint;building platoon,,Russian Empire;Russia,,Audiovisual Counterpoint,,Autumn 1917,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 21,Autumn 1917,,,,counterpoint_idea
Biography,1917-00-00,1917-00-00,,Reads Albrecht Dürer's 'Diary of his journey to the Netherlands'.,In autumn Sergei Eisenstein reads Albrecht Dürer's 'Diary of his journey to the Netherlands'.,Biography and Personality,,Studying;Albrecht Dürer;Diary of his journey to the Netherlands,Albrecht Dürer,,,,,Autumn 1917,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 21,Autumn 1917,,,,Dürer_reading
Cinema,1917-11-00,1917-11-00,,"Works on an own pantomime, 'Les Millions de Pierrot.","Sergei Eisenstein designs a libretto and figurines for a pantomime, presumably written by himself, under the title 'Les Millions de Pierrot'.",Cinema and Theatre,,Pierrot's Million;Studying;Pantomime,,Russian Empire;Russia,Les Millions de Pierrot,,Script;Costume Design;Pantomime,November 1917,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 21,November 1917,,,,pierrot_million
Graphic,1917-11-06,1917-11-07,1917-11-07,"Creates caricatures on the October Revolution, that are rejected.","October Revolution in Petrograd. Sergei Eisenstein offers caricatures about the Prime Minister, Aleksandr Kerenski, to Stanislav Propper, the editor of the weekly magazine Ogonek. Propper does not accept the work, but promises him commissions. Sergei Eisenstein receives an advance of 25 rubles.",Graphic Art;Biography and Personality,,October Revolution;Caricature;Stanislav Propper;Aleksandr Kerenski;Ogonek;Drawing,Aleksandr Kerenski;Stanislav Propper,Russian Empire;Russia;St. Petersburg,,Caricature,October Revolution;Ogonek,,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 22,,,,,drawing_october_revolution_caricatures
Cinema,1917-00-00,1917-00-00,,"Sergei Eisenstein creates several designs for costumes, masks and decorations.","1917 Sergei Eisenstein creates designs for costumes, masks and decorations for Shakespeare's 'Hamlet' (1600), decoration designs for Gerhart Hauptmann, 'The Weavers' (1892) and the comedy 'Schluck und Jau' (1900), costume designs for the prose comedy of Molière, 'Scapin the Schemer', decoration and Costume designs for a vaudeville (author not identified) 'First Die and Then You Can Be Honored' as well as for 'Queen of Spades' after Aleksandr Pushkin or Petr Tchaikovski.",Cinema and Theatre;Graphic Art,,Shakespeare;Hamlet;Gerhart Hauptmann;The Weavers;Schluck und Jau;Molière;Scapin the Schemer;End well all is well;Queen of spades;Aleksandr Pushkin;Petr Tchaikovski;Comedy,William Shakespeare;Gerhart Hauptmann;Molière;Aleksandr Pushkin;Petr Tchaikovski,,Hamlet;The Weavers;Schluck und Jau;Scapin the Schemer;First Die and Then You Can Be Honored;Queen of Spades,,Costume Design;Set Design;Mask Design,1917,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 22,1917,,,,designs_1917
Cinema,1917-00-00,1917-00-00,,Sergei Eisenstein writes several plays and stage drafts.,"Sergei Eisenstein writes the farce in one act 'Spießbürger', the drama 'Dawn of the Red Alarm', the ""Mystery Play in six pictures with prologue"" 'Evolution of a Witch' and presumably the pantomime 'Four Harlekins', which was preserved in the archive. Drafts for the production of all pieces are created.",Cinema and Theatre;Writing and Teaching,,Spießbürger;The fire of the red storm;The Evolution of the Witch;Pantomime;The Four Harlequins,,,Dawn of the Red Alarm;Evolution of a Witch;Four Harlekins,Mystery Play,Script,1917,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 22,1917,,,,writing_plays_1917
Cinema,1917-00-00,1918-00-00,1918-00-00,Sergei Eisenstein works further on dramatizations and theatre designs.,"In 1917 or 1918, Sergei Eisenstein works on decoration, costumes and and mask designs for fairy tale plays by Carlo Gozzi, 'The Love of the Three Oranges', 'The Serpent Woman' and 'The Green Bird'. He writes ""dramatic scenes after the Memoirs of Achilleus"", 'Achilliada', and dramatizes Persian fairy tales.",Cinema and Theatre;Writing and Teaching;Graphic Art,,Costume Design;The love of the three oranges;The serpent woman;The Green Bird;Achilliada;Fairy Tales,,,The Love of the Three Oranges;The Serpent Woman;The Green Bird;Achilliada;Persian Stories,,,1917 or 1918,Sudendorf;Werner (1975): 'Sergej M. Eisenstein – Materialien zu Leben und Werk'. München/Wien: Carl Hanser Verlag;p. 22,1917 or 1918,,,,writing_plays_designs_1917_18
