type,idx,date,,year,info,hover,category,project,keyword,first,number,number1
Graphic,14,1908-00-00,,1908,Begins to draw.,"Inspired by an employee of his father, engineer Afrossimov, Eisenstein begins to draw ""very much and very badly"". With time, his interest concentrates on pure linear drawing.",Graphic Art;Biography and Personality,,Afrossimov;Drawing,,,20
Biography,7,1908-00-00,,1908,Eisensteins parents separate.,Eisensteins mother Julija Ivanova separates from her husband and moves to St. Petersburg to Tavričeskaja street 9. Eisenstein stays with his father in Riga.,Biography and Personality,,Julija Ivanova;Michaïl Ossipovič Eisenstein;Parents,1,20,20
Biography,8,1909-00-00,,1909,Eisenstein learns English and French,"Eisenstein is learning English and French; since he lives in Riga, he already speaks better German than Russian.",Biography and Personality,Education,,1,20,20
Biography,15,1910-00-00,,1910,First visit to a circus performance in St. Petersburg.,"Eisenstein visits a circus performance in St. Petersburg for the first time. He soon becomes a passionate follower of the circus. The principle of a program based on numbers determines the structure of his early theatrical productions, which break down each fragment of a play into artistic attractions and work with the eccentric elements of the circus and the Music Hall (clowns, tightrope walkers, acrobats).",Biography and Personality;Cinema and Theatre,,,1,20,20
Biography,16,1910-00-00,,1910,Intense interest for the French Revolution.,"Inspired by the reading of French revolutionary novels, Eisenstein asks for Histoire de la Revolution française by François Auguste Mignet for Christmas.",Biography and Personality,,Histoire de la Revolution française;François Auguste Mignet,,20,20
Biography,17,1910-00-00,,1910,Watches his first color film.,"Eisenstein watches the first ""films in natural colors […].""",Biography and Personality;Cinema and Theatre,,,,20,20
Biography,18,1910-00-00,,1910,Watching a cruel film scene becomes a traumatic experience.,"The cruelty of a film scene in which a blacksmith burns a convicts mark on the shoulder of a sergeant in revenge, together with the reading of the novels The Torture Garden (1899) by Octave Mirabeau and Venus in Furs (1870) by Leopold von Sacher-Masoch are a traumatic experience for Eisenstein, ""until the ocean of cruelties that my own films are filled with [...] flooded these early impressions of the disastrous film and the two books that undoubtedly influenced this ocean"".",Biography and Personality;Cinema and Theatre,,The Torture Garden;Octave Mirabeau;Venus in Furs;Leopold von Sacher-Masoch,,20,20
Cinema,19,1910-00-00,,1910,Works at a performance of Die Nibelungen.,Eisenstein prepares the performance of two acts from Friedrich Hebbels tragedy Die Nibelungen (1862).,Cinema and Theatre,,Friedrich Hebbel;Die Nibelungen,,1,20
Cinema,20,1912-00-00,,1912,Eisenstein and Maksim Štrauch organize circus performances.,"Eisenstein organizes circus performances with Maksim Štrauch, where all roles - including the animals - are performed by Štrauch and Eisenstein.",Cinema and Theatre,,Maksim Štrauch,1,1,20
Cinema,21,1912-00-00,,1912,Eisensteins enthusiasm for theatre begins.,Eisensteins enthusiasm for theatre begins when he attends the performance of Carlo Gozzis tragicomedy Turandot (1762) of the St. Petersburg theatre group K. N. Nezlobin in the production of Fëdor Fëdorovič Komissarževskij in Riga.,Cinema and Theatre,,Carlo Gozzi;Turandot;K.N. Nezlobin;Fëdor Fëdorovič Komissarževskij;Comedy,,1,20
Biography,22,1912-05-08,,1912,Parents get divorce.,The marriage of Eisensteins parents is divorced for breach of fidelity by Julija Ivanova.,Biography and Personality,,Julija Ivanova;Michaïl Ossipovič Eisenstein;Parents,1,20,20
Graphic,23,1913-00-00,,1913,Processes politics and his school life in drawings.,"Eisenstein draws a lot. In his drawing books he began to occupy himself over the years with a series of satirical drawings - In der Welt der Tiere - in which daily political events, personalities of Riga society and school events are processed.",Graphic Art,,Drawing,1,,20
Biography,24,1914-07-00,,1914,Spends the summer with his mother in Staraja Russa.,"Eisenstein spends the summer with his mother in Staraja Russa. There he experiences a procession that later inspires him to the church procession in the film The General Line. During the stay he meets Anna Grigorjevna Dostoevskaja, the widow and executor of Fëdor Dostoevskijs estate.",Biography and Personality;Cinema and Theatre,General Line,Julija Ivanova;General Line;Religion;Anna Grigorjevna Dostoevskaja;Fëdor Dostoevskij,1,20,20
Biography,25,1915-05-02,,1915,"Graduation from high school, from which later he remembers his final religion exam especially.",Eisenstein graduates high school. He later describes his final religion exam as the origin of his later atheism.,Biography and Personality,,Exam;Religion;atheism,,20,20
Biography,26,1915-05-30,,1915,The family is evacuated from Riga due to the war. Eisenstein travels to Petrograd to enter the Institute of Civil Engineering. ,Families of officials are evacuated from Riga in anticipation of German troops advancing on Lithuania and Kurland since April 1915. Eisenstein travels with his father to Petrograd for the entry exam to the Institute of Civil Engineering. During the trip he rebels against his authoritarian father for the first time.,Biography and Personality,,War;Institute of Civil Engineering,,20,20
Biography,27,1915-05-30,,1915,Starts living in Petrograd.,From his entrance exam to the Institute of Civil Engineering on Eisenstein lives with his mother until 1918.,Biography and Personality,,Institute of Civil Engineering,,20,20
Biography,28,1915-09-00,,1915,Begins his studies at the Institute of Civil Engineering.,Eisenstein starts his studies at the Institute of Civil Engineering in Petrograd. He is intensively engaged in analytical geometry.,Biography and Personality,,Institute of Civil Engineering,,20,20
Cinema,29,1916-00-00,,1916,Occupation with the art of Italian Renaissance.,Eisenstein occupies himself with the art of Italian Renaissance. The theatrical means of the mask in the Commedia dellArte is decisive for the development of the character typage in Eisensteins films.,Cinema and Theatre,,Commedia dell'Arte;character typage,1,1,20
Cinema,30,1916-00-00,,1916,Visits the Vaudeville theaters in Petrograd.,Eisenstein visits the Vaudeville theaters in Petrograd and meets the theater director Nikolaj Evreïnov.,Cinema and Theatre,,Vaudeville;Nikolaj Evreïnov,,1,20
Biography,31,1917-02-00,,1917,Becomes a city militiaman.,"The Institute of Civil Engineering is transformed into ""»ein Zentrum zur Wahrung von Ruhe und Ordnung in denKompanien des Ismaïlov-Regiments«"". Eisenstein becomes a city militiaman.",Biography and Personality,,February Revolution;Institute of Civil Engineering;militia,1,20,20
Biography,32,1917-02-00,,1917,Takes the exam in higher mathematics.,Eisenstein takes the exam in higher mathematics.,Biography and Personality,,Exam;higher mathematics,,20,20
Biography,33,1917-02-00,,1917,Visits the repertoire productions of Meyerhold.,"Eisenstein visits the repertoire productions of Vsevolod Meyerhold at the Aleksandrinskij Theatre: Molière, Don Juan (on the program since November 9, 1910) and Calderón de la Barca, The Constant Prince (on the program since April 23, 1914). The traditional costume, mask and decoration designs from the year 1917 that are preserved in the Eisenstein Archive may, among other things, be directly related to these theatrical experiences.",Biography and Personality;Cinema and Theatre,,Vsevolod Meyerhold;Aleksandrinskij Theatre;Molière;Calderón de la Barca;Constant Prince,,20,20
Biography,34,1917-03-08,,1917,Outbreak of the February Revolution in Petrograd.,"Outbreak of the February Revolutionin Petrograd: Troops defect to the insurgents; a provisional executive committee of the Council of Workmens and Soldiers Deputies. is formed. Eisenstein observes the actions, but never participates actively.",Biography and Personality,,February Revolution;Military Involvement,,20,20
Biography,35,1917-03-10,,1917,Seeing the Meyerhold production of Masquerade has lasting impact on Eisenstein.,Eisenstein sees the new Meyerhold production Masquerade (1835/36) by Mikhail J. Lermontov at the Aleksandrinskij Theatre. He is very impressed and later describes it as the final blow to dedicate his life to art.,Biography and Personality;Cinema and Theatre,,Vsevolod Meyerhold;Masquerade;Mihkail Lermontov;Aleksandrinskij Theatre,,20,20
Graphic,36,1917-03-00,,1917,First caricatures get published in newspapers. ,"Eisenstein starts professionally drawing caricatures, which are initially rejected by the magazine Satirikon. The editor of the Petrograd Gazette accepts a drawing entitled ""Die Miliz schafft Ordnung"" for publication; Eisenstein receives a fee of 10 rubles. Other caricatures appear with the signature ""Sir Gay"" (= Sergei).",Graphic Art,,Drawing;Caricature;Satirikon;Gazette;Sir Gay,,,20
Biography,37,1917-04-00,,1917,Begins studying at the Fähnrichschule for Army technicians,Eisensteins application for admission to the Fähnrichschule for Army technicians in Petrograd is accepted. He takes his first courses at the Fähnrichschule not after July.,Biography and Personality,,Fähnrichschule;Army technician;Military Involvement,,20,20
Biography,38,1917-07-16,,1917,Is caught up in Bolshevik demonstrations at Nevskij Prospect.,"Eisenstein is caught up in Bolshevik demonstrations at Nevskij Prospect, which are dispersed by military intervention. Ten years later, after personal memories and historical film and photo documents, he shoots the film October there.",Biography and Personality;Cinema and Theatre,October,Demonstration;Nevskij Prospect;October;Military Involvement,,20,20
Biography,39,1917-08-00,,1917,Is sent to the front in Fähnrichschule.,"Eisenstein is sent to the front. The Fähnrichschule is used for defense ""in the forecourt of Petrograd in front of the ""anrückenden Haufen Kornilovs und der wilden Division«.",Biography and Personality,,front;Fähnrichschule,,20,20
Cinema,40,1917-09-29,,1917,Scene drafts for Carlo Goldoni The respectful Prostitute.,Eisenstein sketches two scene drafts for Carlo Goldoni The respectful Prostitute.,Cinema and Theatre;Graphic Art,The Respectful Prostitute,Carlo Goldoni;The respectful Prostitute;Drawing;Sketch,,1,20
Biography,41,1917-00-00,,1917,First thoughts on the principle of counterpoint.,"In autumn while practicing building pontoon bridges, Eisenstein has his first insights concerning the principle of counterpoint ""as a strictly limited combination of countless independent individual actions"".",Biography and Personality;Cinema and Theatre,Audiovisual Counterpoint,counterpoint;building platoon,,20,20
Biography,42,1917-00-00,,1917,Reads Albrecht Dürers Diary of his journey to the Netherlands.,In autumn Eisenstein reads Albrecht Dürers Diary of his journey to the Netherlands.,Biography and Personality,,Studying;Albrecht Dürer;Diary of his journey to the Netherlands,,20,20
Cinema,43,1917-11-00,,1917,"Works on an own pantomime, Pierrots Million.","Eisenstein designs a libretto and figurines for a pantomime, presumably written by himself, under the title Die Millionen  des Pierrot.",Cinema and Theatre,,Pierrot's Million;Studying;Pantomime,,1,20
Graphic,44,1917-11-06,,1917,"Creates caricatures on the October Revolution, that are rejected.","October Revolution in Petrograd. Eisenstein offers caricatures about the Prime Minister, Aleksandr Fëdorovič Kerenskij, to Stanislav Propper, the editor of the weekly magazine Ogonëk. Propper does not accept the work, but promises him commissions. Eisenstein receives an advance of 25 rubles.",Graphic Art;Biography and Personality,,October Revolution;Caricature;Stanislav Propper;Aleksandr Fëdorovič Kerenskij;Ogonëk;Drawing,,,20
Cinema,45,1917-00-00,,1917,"Eisenstein creates several designs for costumes, masks and decorations.","1917 Eisenstein creates designs for costumes, masks and decorations for Shakespeares Hamlet (1600), decoration designs for Gerhart Hauptmann, The Weavers (1892) and the comedy Schluck und Jau (1900), costume designs for the prose comedy of Molière, Scapin the Schemer, decoration and Costume designs for a vaudeville (author not identified) End well, all is well as well as for Queen of spades after Aleskandr Puškin or Pëtr Čajkovskij.",Cinema and Theatre;Graphic Art,,Shakespeare;Hamlet;Gerhart Hauptmann;The Weavers;Schluck und Jau;Molière;Scapin the Schemer;End well all is well;Queen of spades;Aleskandr Puškin;Pëtr Čajkovskij;Comedy,,1,20
Cinema,46,1917-00-00,,1917,Eisenstein writes several plays and stage drafts.,"Eisenstein writes the farce in one act Spießbürger, the drama Der Feuerschein des roten Sturmes, the Mysterienspiel in sechs Bildern mit Prolog, Die Evolution der Hexe and presumably the pantomime Die vier Harlekins, which was preserved in the archive. Drafts for the staging of all pieces are created.",Cinema and Theatre;Writing and Teaching,,Spießbürger;The fire of the red storm;The Evolution of the Witch;Pantomime;The Four Harlequins,,1,20
Cinema,47,1917-00-00,,1917,Eisenstein works further on dramatizations and theatre designs.,"In 1917 or 1918, Eisenstein works on decoration, costumes and and mask designs for fairy tale plays by Carlo Gozzi, The love of the three oranges, The serpent woman and The Green Bird. He writes ""dramatic scenes after the Memoirs of Achilleus"", Achilliada, and dramatizes Persian fairy tales.",Cinema and Theatre;Writing and Teaching;Graphic Art,,Costume Design;The love of the three oranges;The serpent woman;The Green Bird;Achilliada;Fairy Tales,,1,20
Biography,48,1918-01-00,,1918,Returns to Institute of Civil Engineering.,The school for army technicians is closed. Eisenstein returns to his studies of Civil Engineering.,Biography and Personality,,Education,1,20,20
Biography,49,1918-03-18,,1918,Joins the Red Army.,"Voluntary entry into the Red Army as a technician for military buildings in the 2nd Building Battalion of the Petrograd Rayon, the later 18th Building Regiment with the 15th Army Staff. Eisensteins father decides to join the White Army at the same time.",Biography and Personality,,Military Involvement,,20,20
Biography,50,1918-00-00,,1918,Begins reading Freud.,Eisenstein reads Sigmund Freuds Leonardo da Vinci and A Memory of His Childhood; this marks the beginning of his longstanding engagement with Freud.,Biography and Personality,,Sigmund Freud;Leonardo da Vinci;A Memory of His Childhood;Studying,,20,20
Graphic,51,1918-07-02,,1918,Drawing character and decoration designs.,Eisenstein sketches Character and decoration designs for a Farce aus der Zeit Katharinas II. in drei Akten mit Prolog under the title Pantöffelchen oder Die Karriere des Fürsten Oselskij.,Graphic Art,,Farce of the time of Catherine II;Slippers;The Career of Prince Osel'skij;Drawing;Sketch,,,20
Biography,52,1918-09-20,,1918,Meets Maria Puškina when transferred to the northeastern front.,"The 18th construction regiment is transferred to the northeastern Front. There Eisenstein makes the acquaintance of Maria Puškina. ""In Eisensteins diaries one constantly encounters the initials M. P.""",Biography and Personality,,M.P.;Maria Puškina;Journal Entry,,20,20
Biography,53,1918-11-17,,1918,Visits the Prilucker Monastery in Novgorod.,Eisenstein visits the Prilucker Monastery in Novgorod. He later used the impressions recorded there in the design of Ivan the Terrible.,Biography and Personality;Cinema and Theatre,Ivan Groznyj,Ivan Groznyj;Set Design,,20,20
Cinema,54,1918-00-00,,1918,"Decoration, costume and mask designs for Aristophanes comedies.","Eisenstein works on decoration, costume and mask designs for the comedies of Aristophanes The Birds, The Clouds and Lysistrata.",Cinema and Theatre;Graphic Art,,Set Design;Costume Design;The Birds;The Clouds and Lysistrata',,1,20
Cinema,55,1919-01-00,,1919,"First experiences as director, set designer and actor.","Eisensteins first practical attempts as a director, set designer and actor in the communist club of Vožega.",Cinema and Theatre,,Set Design;Costume Design,1,1,20
Biography,56,1919-03-06,,1919,Experiences a former battlefield when transferred to Dvinsk.,Eisensteins unit is moved to Dvinsk. He takes part in the blasting of German fortifications on a former battlefield littered with skeletons. Later he uses this image in the prologue of Aleksandr Nevskij.,Biography and Personality;Cinema and Theatre,Aleksandr Nevskij,Military Involvement;Aleksandr Nevskij,,20,20
Cinema,57,1919-06-02,,1919,Works on designs for Queen Theodora.,"Eisenstein works on decoration, masks and costume designs for Queen Theodora; it is either a vaudeville of Victorien Sardou or a dramatization of his.",Cinema and Theatre;Graphic Art,Queen Theodora,Set Design;Costume Design;Queen Theodora,,1,20
Cinema,58,1919-06-11,,1919,Studies the staging principles of medieval mystery plays,Eisenstein tells his mother that he is working on the staging principles of medieval mystery plays.,Cinema and Theatre,,Set Design;Studying,,1,20
Cinema,59,1919-00-00,,1919,Envisions images later used in The Old and the New/ The General Line.,"One summer day after an ""unusually luxuriant meal"", Eisenstein falls into a visionary half-sleep; the visions are ""a good five years later [...] in my head not yet blurred [...] the kulak’s ear and the crease in his neck, as big as the whole movie screen, the nose of the other one the size of a house, a huge hand, sleepily helpless over a jug of kvass, a grasshopper the size of a mower - such images were incessantly interwoven with the sarabande of landscapes and rural customs in the film The Old and the New."" (Stationen, p. 107f.)",Cinema and Theatre,General Line,The Old and the New;Dreams,,1,20
Cinema,60,1919-06-00,,1919,Drafts libretto and designs for The twelve hours of Columbina.,"Eisenstein drafts a libretto for a pantomime ""Grand Colombino-Arlequinade"" Die zwölf Stunden der Columbina; designs for decoration and figures are created.",Cinema and Theatre;Graphic Art,,Set Design;Pantomime;Grand Colombino-Arlequinade;The twelve hours of Columbina,,1,20
Biography,61,1919-07-01,,1919,"Studies Maeterlinck, Schopenhauer and especially Kleists work on movement.","Eisenstein is sent to Cholm to build the fortress. He reads works by Maurice Maeterlinck, Arthur Schopenhauer and the theatre-theoretical Writings and Teaching of Heinrich von Kleist; Kleists On the Marionette Theatre gives Eisenstein an initial impetus for later studies of expressive movement, and ""the first two or three guiding principles on biomechanics will continue to follow the path taken by Kleist"".",Biography and Personality;Cinema and Theatre,,Studying;Maurice Maeterlinck;Arthur Schopenhauer;Heinrich von Kleist;On the Marionette Theatre,,v,20
Cinema,62,1919-07-00,,1919,Decoration designs for Princess Maleine.,Eisenstein works on decoration designs for Maeterlincks Princess Maleine (1899).,Cinema and Theatre;Graphic Art,,Set Design;Costume Design;Princess Maleine;Maurice Maeterlinck,,1,20
Cinema,63,1919-10-04,,1919,Decoration designs for own intermezzo.,"For an intermezzo, probably written by Eisenstein himself Ein in eine Puppe Verliebter oder Der französische Kavalier, he creates designs for decoration and figures.",Cinema and Theatre;Graphic Art,,Set Design;Ein in eine Puppe Verliebter oder Der französische Kavalier,,1,20
Cinema,64,1919-10-00,,1919,Decoration designs for Brand.,"Decoration designs for Henrik Ibsens Brand (1866), a dramatic poem in five acts.",Cinema and Theatre;Graphic Art,,Set Design;Brand;Henrik Ibsen,,1,20
Biography,65,1919-11-00,,1919,Relocation to Velikie Luki.,In the first half of November Eisensteins army department is relocated to Velikie Luki.,Biography and Personality,,Military Involvement,,20,20
Cinema,66,1919-11-00,,1919,Designs for a comedy by Miguel de Cervantes.,Decoration and costume designs for the comedy Zwei Schwatzköpfe (1614) by Miguel de Cervantes.,Cinema and Theatre;Graphic Art,,Set Design;Costume Design;The Birds;The Clouds and Lysistrata',,1,20
Biography,67,1919-11-00,,1919,Founds an amateur drama group in Velikie Luki.,"Eisenstein and some soldiers found an amateur drama group and he makes the acquaintance of the painter Konstantin Stepanovič Eliseev, in whose house the local cultural club is located; there theatre performances take place regularly.",Biography and Personality;Cinema and Theatre,,Konstantin Stepanovič Eliseev;Drama group,,20,20
Cinema,68,1919-11-30,,1919,Designs for a stage play.,Costume and mask designs for an unidentified stage play Eine käufliche Frau.,Cinema and Theatre;Graphic Art,A Woman for Sale,Set Design;Costume Design;A Woman for Sale,,1,20
Cinema,69,1919-12-27,,1919,Designs for a stage play.,"Decoration and figure designs for Miracles of St. Nicholas, a Jew and three robbers. The author has not been identified.",Cinema and Theatre;Graphic Art,Miracles of St. Nicholas;A Jew and three robbers,Set Design;Costume Design;Miracles of St. Nicholas;A Jew and three robbers,,1,20
Cinema,70,1919-00-00,,1919,From the time between 1919 and 1921 several more plays and designs by Eisenstein are preserved. ,"In 1919, he creates costume and decoration designs for the Miracle Play by an unidentified author: Notre Dame; Decoration designs for The Bartholomew Market (1613) and Volpone (1605) by Ben Jonson, for ""Peer Gynt"" (1867) by Ibsen; figure designs for ""Eric XIV"" (1899) by August Strindberg; decoration, costume and mask designs for the presumably Old French ""morality of the two Lazarus"". The dating is uncertain for the decorations and costume designs for Gerhart Hauptmanns Elga (1905) and for the comedy The Nymphs of the Old Park , for which costume designs and a cast list has been handed down. The author has not been identified. In 1919 or 1920 E. works on drafts for the opera Dubrovskij from Napravnik after a story by Puškin, on The play of the brave Georg by Rozanov and the drama The Royal Barber by Anatolij V. Lunačarskij; for the drama Savva (1907) by Leonid N. Andreev are created sketches. Between 1919 and 1921, Eisenstein wrote The Comedy of Power or Queen Isabella, for which, in addition to designs for equipment, stage directions have been handed down. In 1919 or 1921, E. worked on decorations for Vladimir V. Majakovskijs Mysterium buffo (1918).",Cinema and Theatre;Graphic Art,Dubrovskij,Set Design;Costume Design;Notre Dame;The Bartholomew Market;Volpone;Ben Jonson;Peer Gynt;Eric XIV;August Strindberg;Gerhart Hauptmann;Elga;The Nymphs of the Old Park;Dubrovskij;The play of the brave Georg;Rozanov;The Royal Barber;Anatolij V. Lunačarskij;Savva;Leonid N. Andreev;The Comedy of Power or Queen Isabella;Vladimir V. Mayakovskij;Mysterium buffo,,1,20
Cinema,71,1920-01-07,,1920,Preparations to stage The Double with the amateur drama group.,Eisenstein begins preparing the staging of the comedy The Double by Arkadij T. Averčenko with the amateur drama group of the 18th Building Regiment.,Cinema and Theatre,,The Double by Arkadij;Arkadij T. Averčenko;Drama group;Comedy,1,1,20
Cinema,72,1920-01-08,,1920,Preparations to stage The Mirror.,Preparations for the production of the drama The Mirror by F. M. Slučanjnyj are started.,Cinema and Theatre,,The Mirror;F. M. Slučanjnyj,,1,20
Cinema,73,1920-01-21,,1920,Designs for Donna Manuela.,"Eisenstein works on costume and mask designs for a stage play Donna Manuela, whose author could not be determined.",Cinema and Theatre;Graphic Art,,Donna Manuela;Set Design;Costume Design,,1,20
Cinema,74,1920-02-04/1920-03-19,,1920,Preparations to stage Marat.,Eisenstein works on the production of the drama Marat by A. Emnuelle (d. i. N. Nikolaev).,Cinema and Theatre,,Marat;A. Emnuelle,,1,20
Cinema,75,1920-02-09,,1920,"Performance of The Double, Der Spiegel and The Trial  at the Cultural Club in Velikie Luki.","The Double, ""Der Spiegel"" and the comedy The Trial by Nikolaj V. Gogol are performed at the Cultural Club in Velikie Luki. In The Double, Eisenstein plays the (secondary) role of the bespectacled man. In one criticism it says, ""that all the performers (including myself) overacted excessively [...] that they all [...] turned themselves into circus eccentrics!""",Cinema and Theatre,,The Double;The Mirror';The Trial;Nikolaj V. Gogol;Critique;Comedy,,1,20
Cinema,76,1920-03-10,,1920,Drafts for The Tales of Hoffmann.,Drafts for The Tales of Hoffmann Operetta by Jacques Offenbach.,Cinema and Theatre;Graphic Art,,The Tales of Hoffmann Operetta;Jacques Offenbach,,1,20
Cinema,77,1920-03-11,,1920,Creates a play and decorations under the pseudonym Peregrinus Tiss.,"Eisenstein writes under the pseudonym Peregrinus Tiss the libretto for a Wahrhafte Komödie über die wollüstige Zauberin Tartallina, einen schwarzen Ziegenbock, das gerechte Gottesgericht, wie auch über heimtückische Teufel, die ehrwürdigen Orišel und Tartašel und andere kurzweilige Ereignisse, die in alten Zeiten in der guten Stadt Madaur stattfanden. Decoration designs, costumes and masks are created.",Cinema and Theatre;Graphic Art,,Pseudonym;Peregrinus Tiss;Set Design;Costume Design,,1,20
Cinema,78,1920-03-19,,1920,Marat and The Gamblers are performed in the cultural club of Velikie Luki.,Marat and The Gamblers are performed in the cultural club of Velikie Luki.,Cinema and Theatre,,Marat;The Gamblers,,1,20
Cinema,79,1920-04-04,,1920,Discusses George Dandin with students of the Central Theatre Studio.,With students of the Central Theatre Studio (in Velikie Luki?) Eisenstein discusses the staging of the prose comedy by Molière George Dandin (1668).,Cinema and Theatre;Writing and Teaching,,Molière;George Dandin;Comedy,,1,20
Cinema,80,1920-04-19,,1920,Studies The Storming of the Bastille after Le quatorze juillet.,Eisenstein studies The Storming of the Bastille after Le quatorze juillet (1902) by Romain Rolland.,Cinema and Theatre,,Studying;The Storming of the Bastille;Le quatorze juillet;Romain Rolland,,1,20
Cinema,81,1920-05-12,,1920,Designs for more play.s,"Eisenstein is working on a Komödie ohne Titel (Cornelia), which is designed by himself and is working on decoration designs for Die Hochzeit der Marquise Kampozzi(author not identified).",Cinema and Theatre;Graphic Art,Cornelia,Cornelia;Set Design;Costume Design;The Marquise Kampozzi's Wedding,,1,20
Cinema,82,1920-05-17,,1920,Drafts for the production of a Heijermans work.,"Drafts for a production of the ""Seestück"" in four acts Der Untergang der Hoffnung (1901) by Herman Heijermans.",Cinema and Theatre;Graphic Art,,Seestück;Hoffnung;Herman Heijermans,,1,20
Biography,83,1920-05-25,,1920,Travels to Polock.,Trip to Polock. Eisenstein reads Mémoires sur le siècle de Louis XIV et sa Régence (1829f.) by Saint-Simon; renewed meeting with Konstantin Eliseev.,Biography and Personality,,Travels;Mémoires sur le siècle de Louis XIV et sa Régence;Konstantin Eliseev;Saint-Simon,,20,20
Cinema,84,1920-06-21,,1920,Studies roman comedies.,Eisenstein occupies himself with the comedies Mostellaria by Titus Maccius Plautus and The Eunuch by Publius Terentius Afer.,Cinema and Theatre,,Mostellaria;Titus Maccius Plautus;The Eunuch;Publius Terentius Afer,,1,20
Cinema,85,1920-06-27,,1920,Eisenstein joins the Theatre Section of the Political Department of the Western Front in Polock.,Eisenstein joins the Theatre Section of the Political Department of the Western Front in Polock.,Cinema and Theatre,,Political Department of the Western Front,,1,20
Cinema,86,1920-07-01,,1920,Tries to organize a front theatre.,Trip to Mogilëv: There Eisenstein makes an attempt to organize a front theatre.,Cinema and Theatre,,Travels,,1,20
Biography,87,1920-07-11,,1920,Becomes decorator of the Theatre Section of the Political Department of the Western Front in Smolensk.,"Arrival in Smolensk, where Eisenstein becomes decorator of the Theatre Section of the Political Department of the Western Front. He lives in a freight car and later describes life on the train station grounds as his most terrible experience, that inspired him for several scenes in his films.",Biography and Personality;Cinema and Theatre;Graphic Art,,Travels;Political Department of the Western Front,,20,20
Cinema,88,1920-07-14,,1920,Creates the set for a performance of King Harlequin.,Development of the set for King Harlequin (1900) by Rudolph Lothar; he also works on the direction of the finale.,Cinema and Theatre;Graphic Art,,Set Design;King Harlequin;Rudolph Lothar,,1,20
